entity_id,state,last_changed
sensor.tigo_ts4_c4_daily_energy,498.44,2026-03-07T10:22:01.543Z
sensor.tigo_ts4_c4_daily_energy,498.72,2026-03-07T10:22:05.235Z
sensor.tigo_ts4_c4_daily_energy,499.01,2026-03-07T10:22:09.205Z
sensor.tigo_ts4_c4_daily_energy,499.29,2026-03-07T10:22:13.004Z
sensor.tigo_ts4_c4_daily_energy,499.59,2026-03-07T10:22:16.999Z
sensor.tigo_ts4_c4_daily_energy,499.91,2026-03-07T10:22:21.200Z
sensor.tigo_ts4_c4_daily_energy,500.21,2026-03-07T10:22:25.369Z
sensor.tigo_ts4_c4_daily_energy,500.5,2026-03-07T10:22:29.306Z
sensor.tigo_ts4_c4_daily_energy,500.79,2026-03-07T10:22:33.180Z
sensor.tigo_ts4_c4_daily_energy,501.08,2026-03-07T10:22:37.053Z
sensor.tigo_ts4_c4_daily_energy,501.69,2026-03-07T10:22:45.457Z
sensor.tigo_ts4_c4_daily_energy,501.74,2026-03-07T10:22:46.199Z
sensor.tigo_ts4_c4_daily_energy,501.98,2026-03-07T10:22:49.434Z
sensor.tigo_ts4_c4_daily_energy,502.24,2026-03-07T10:22:53.095Z
sensor.tigo_ts4_c4_daily_energy,502.58,2026-03-07T10:22:57.589Z
sensor.tigo_ts4_c4_daily_energy,502.87,2026-03-07T10:23:01.565Z
sensor.tigo_ts4_c4_daily_energy,503.43,2026-03-07T10:23:09.200Z
